Age,Age_Showing,Normative_variability,CI_low,CI_high
48.3,48.3,0.01219,0.012049,0.012372
48.4,48.4,0.012197,0.012057,0.01238
48.5,48.5,0.012205,0.012065,0.012387
48.6,48.6,0.012212,0.012072,0.012394
48.7,48.7,0.012219,0.01208,0.012401
48.8,48.8,0.012226,0.012088,0.012408
48.9,48.9,0.012233,0.012094,0.012415
49,49,0.01224,0.012101,0.012421
49.1,49.1,0.012247,0.012109,0.012427
49.2,49.2,0.012254,0.012116,0.012434
49.3,49.3,0.01226,0.012122,0.012441
49.4,49.4,0.012267,0.012129,0.012447
49.5,49.5,0.012273,0.012135,0.012454
49.6,49.6,0.01228,0.012141,0.012461
49.7,49.7,0.012286,0.012147,0.012466
49.8,49.8,0.012292,0.012153,0.012472
49.9,49.9,0.012298,0.01216,0.012479
50,50,0.012304,0.012165,0.012485
50.1,50.1,0.01231,0.012171,0.012489
50.2,50.2,0.012316,0.012177,0.012495
50.3,50.3,0.012321,0.012182,0.012501
50.4,50.4,0.012327,0.012188,0.012506
50.5,50.5,0.012332,0.012193,0.012512
50.6,50.6,0.012338,0.012198,0.012517
50.7,50.7,0.012343,0.012203,0.012523
50.8,50.8,0.012348,0.012209,0.012528
50.9,50.9,0.012353,0.012214,0.012533
51,51,0.012358,0.012218,0.012538
51.1,51.1,0.012363,0.012224,0.012543
51.2,51.2,0.012367,0.012229,0.012547
51.3,51.3,0.012372,0.012233,0.012552
51.4,51.4,0.012376,0.012237,0.012557
51.5,51.5,0.012381,0.01224,0.012561
51.6,51.6,0.012385,0.012245,0.012563
51.7,51.7,0.012389,0.012249,0.012566
51.8,51.8,0.012393,0.012253,0.01257
51.9,51.9,0.012397,0.012256,0.012574
52,52,0.012401,0.012261,0.012578
52.1,52.1,0.012404,0.012264,0.012582
52.2,52.2,0.012408,0.012267,0.012586
52.3,52.3,0.012411,0.01227,0.012588
52.4,52.4,0.012414,0.012274,0.012592
52.5,52.5,0.012418,0.012277,0.012595
52.6,52.6,0.012421,0.01228,0.012599
52.7,52.7,0.012424,0.012283,0.012601
52.8,52.8,0.012426,0.012286,0.012603
52.9,52.9,0.012429,0.012288,0.012605
53,53,0.012432,0.012291,0.012608
53.1,53.1,0.012434,0.012293,0.01261
53.2,53.2,0.012436,0.012296,0.012612
53.3,53.3,0.012439,0.012298,0.012613
53.4,53.4,0.012441,0.012299,0.012615
53.5,53.5,0.012443,0.012301,0.012616
53.6,53.6,0.012445,0.012303,0.012619
53.7,53.7,0.012446,0.012305,0.01262
53.8,53.8,0.012448,0.012306,0.01262
53.9,53.9,0.012449,0.012308,0.012622
54,54,0.012451,0.012309,0.012623
54.1,54.1,0.012452,0.01231,0.012624
54.2,54.2,0.012453,0.012311,0.012623
54.3,54.3,0.012454,0.012312,0.012623
54.4,54.4,0.012454,0.012313,0.012624
54.5,54.5,0.012455,0.012313,0.012624
54.6,54.6,0.012456,0.012314,0.012625
54.7,54.7,0.012456,0.012314,0.012624
54.8,54.8,0.012456,0.012314,0.012624
54.9,54.9,0.012456,0.012313,0.012624
55,55,0.012456,0.012312,0.012623
55.1,55.1,0.012456,0.012312,0.012621
55.2,55.2,0.012456,0.012312,0.01262
55.3,55.3,0.012456,0.012311,0.012619
55.4,55.4,0.012455,0.012309,0.012618
55.5,55.5,0.012454,0.012308,0.012616
55.6,55.6,0.012453,0.012308,0.012615
55.7,55.7,0.012453,0.012307,0.012613
55.8,55.8,0.012451,0.012306,0.012611
55.9,55.9,0.01245,0.012305,0.012609
56,56,0.012449,0.012304,0.012607
56.1,56.1,0.012447,0.012301,0.012604
56.2,56.2,0.012446,0.012298,0.012602
56.3,56.3,0.012444,0.012296,0.0126
56.4,56.4,0.012442,0.012294,0.012598
56.5,56.5,0.01244,0.012292,0.012596
56.6,56.6,0.012437,0.01229,0.012593
56.7,56.7,0.012435,0.012288,0.012591
56.8,56.8,0.012432,0.012285,0.012588
56.9,56.9,0.01243,0.012283,0.012585
57,57,0.012427,0.012279,0.012582
57.1,57.1,0.012424,0.012276,0.012578
57.2,57.2,0.012421,0.012272,0.012576
