Age,Age_Showing,Growth_Rate,CI_low,CI_high
50,50,-0.16775,-0.19344,-0.14936
50.1,50.1,-0.16867,-0.19438,-0.15041
50.2,50.2,-0.16958,-0.1953,-0.15136
50.3,50.3,-0.17048,-0.1962,-0.15221
50.4,50.4,-0.17138,-0.19709,-0.15306
50.5,50.5,-0.17226,-0.19797,-0.15389
50.6,50.6,-0.17313,-0.19883,-0.15461
50.7,50.7,-0.17399,-0.19958,-0.15553
50.8,50.8,-0.17485,-0.20028,-0.15647
50.9,50.9,-0.17569,-0.20084,-0.15737
51,51,-0.17652,-0.20144,-0.15819
51.1,51.1,-0.17735,-0.20235,-0.15901
51.2,51.2,-0.17816,-0.20313,-0.15974
51.3,51.3,-0.17897,-0.20413,-0.16046
51.4,51.4,-0.17976,-0.20501,-0.16118
51.5,51.5,-0.18055,-0.20588,-0.16202
51.6,51.6,-0.18132,-0.2066,-0.16273
51.7,51.7,-0.18209,-0.20729,-0.16358
51.8,51.8,-0.18284,-0.20797,-0.16433
51.9,51.9,-0.18359,-0.20863,-0.16501
52,52,-0.18432,-0.20928,-0.16596
52.1,52.1,-0.18505,-0.20991,-0.16681
52.2,52.2,-0.18577,-0.21053,-0.16755
52.3,52.3,-0.18647,-0.21114,-0.1682
52.4,52.4,-0.18717,-0.21172,-0.16882
52.5,52.5,-0.18786,-0.2123,-0.1695
52.6,52.6,-0.18854,-0.21277,-0.17023
52.7,52.7,-0.1892,-0.2134,-0.17103
52.8,52.8,-0.18986,-0.21398,-0.17171
52.9,52.9,-0.19051,-0.21465,-0.1725
53,53,-0.19115,-0.21513,-0.17313
53.1,53.1,-0.19178,-0.21561,-0.17376
53.2,53.2,-0.1924,-0.21622,-0.17444
53.3,53.3,-0.19301,-0.21671,-0.17504
53.4,53.4,-0.19361,-0.21729,-0.17564
53.5,53.5,-0.1942,-0.21798,-0.17637
53.6,53.6,-0.19478,-0.21837,-0.17697
53.7,53.7,-0.19535,-0.21888,-0.17756
53.8,53.8,-0.19591,-0.21945,-0.17817
53.9,53.9,-0.19646,-0.22009,-0.17872
54,54,-0.197,-0.22053,-0.1793
54.1,54.1,-0.19754,-0.2212,-0.18009
54.2,54.2,-0.19806,-0.22178,-0.18066
54.3,54.3,-0.19857,-0.22206,-0.181
54.4,54.4,-0.19907,-0.22256,-0.18147
54.5,54.5,-0.19957,-0.2231,-0.182
54.6,54.6,-0.20005,-0.22352,-0.18252
54.7,54.7,-0.20053,-0.22392,-0.18303
54.8,54.8,-0.20099,-0.22431,-0.18354
54.9,54.9,-0.20145,-0.22482,-0.18403
55,55,-0.20189,-0.22528,-0.18452
55.1,55.1,-0.20233,-0.22556,-0.18482
55.2,55.2,-0.20275,-0.22594,-0.18524
55.3,55.3,-0.20317,-0.22647,-0.18566
55.4,55.4,-0.20358,-0.22697,-0.18612
55.5,55.5,-0.20397,-0.22713,-0.18659
55.6,55.6,-0.20436,-0.22767,-0.18705
55.7,55.7,-0.20474,-0.22801,-0.18751
55.8,55.8,-0.20511,-0.2283,-0.18796
55.9,55.9,-0.20547,-0.22863,-0.1884
56,56,-0.20582,-0.22872,-0.1888
56.1,56.1,-0.20616,-0.22897,-0.18921
56.2,56.2,-0.20649,-0.22924,-0.18962
56.3,56.3,-0.20681,-0.22967,-0.19002
56.4,56.4,-0.20712,-0.23007,-0.19042
56.5,56.5,-0.20742,-0.23049,-0.19075
56.6,56.6,-0.20771,-0.23063,-0.19107
56.7,56.7,-0.208,-0.23093,-0.19124
56.8,56.8,-0.20827,-0.23114,-0.1914
56.9,56.9,-0.20853,-0.23138,-0.1918
57,57,-0.20879,-0.2317,-0.19202
57.1,57.1,-0.20903,-0.23204,-0.19218
57.2,57.2,-0.20927,-0.2323,-0.19237
57.3,57.3,-0.20949,-0.23275,-0.1924
57.4,57.4,-0.20971,-0.23324,-0.1924
57.5,57.5,-0.20992,-0.23344,-0.19232
57.6,57.6,-0.21012,-0.23356,-0.1927
57.7,57.7,-0.2103,-0.23364,-0.19291
57.8,57.8,-0.21048,-0.23359,-0.19306
57.9,57.9,-0.21065,-0.23386,-0.19308
58,58,-0.21081,-0.23414,-0.19318
58.1,58.1,-0.21096,-0.23408,-0.19336
